epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,263.569,0.73342,0.84804,0.95922,0.98729,0.96256,0.97555,0.75681,0.88203,0.90048,1.01041,0.000221106,0.000221106,0.000221106
45,269.582,0.74555,0.88175,0.99016,0.98452,0.963,0.97636,0.75482,0.8866,0.90065,1.00975,0.000217294,0.000217294,0.000217294
46,276.03,0.75597,0.94213,0.99813,0.98268,0.96335,0.97652,0.75176,0.90686,0.91736,1.02245,0.000213482,0.000213482,0.000213482
47,281.976,0.71933,0.89231,0.99896,0.98223,0.96397,0.97669,0.74079,0.93174,0.93118,1.03781,0.000209671,0.000209671,0.000209671
48,287.867,0.75391,0.89261,0.97953,0.96531,0.96796,0.97573,0.73788,0.92844,0.92332,1.04153,0.00020586,0.00020586,0.00020586
49,293.917,0.68419,0.81222,0.9552,0.96166,0.96753,0.97669,0.73953,0.90985,0.91465,1.03338,0.000202048,0.000202048,0.000202048
50,300.03,0.7143,0.83066,0.96324,0.95676,0.96774,0.97682,0.74351,0.89655,0.8991,1.02411,0.000198236,0.000198236,0.000198236
51,306.148,0.72402,0.85431,0.97189,0.9576,0.9643,0.97674,0.75025,0.88815,0.8873,1.02063,0.000194425,0.000194425,0.000194425
52,312.028,0.72409,0.8034,0.97992,0.96515,0.95215,0.97674,0.75483,0.8753,0.88885,1.01729,0.000190613,0.000190613,0.000190613
53,317.751,0.71395,0.8456,0.97625,0.97539,0.9459,0.97381,0.7493,0.87013,0.89538,1.01707,0.000186802,0.000186802,0.000186802
54,323.259,0.71751,0.85284,0.98055,0.98184,0.94152,0.97364,0.74678,0.88993,0.91006,1.02961,0.00018299,0.00018299,0.00018299
55,329.077,0.7442,0.86784,0.9899,0.98651,0.93855,0.97354,0.7423,0.90609,0.91431,1.03776,0.000179179,0.000179179,0.000179179
56,335.231,0.71032,0.84865,0.97156,0.98409,0.93969,0.97266,0.73866,0.91537,0.90034,1.04008,0.000175367,0.000175367,0.000175367
57,341.263,0.66915,0.82651,0.95794,0.97946,0.94372,0.97265,0.73897,0.90538,0.89056,1.03274,0.000171556,0.000171556,0.000171556
58,347.044,0.70194,0.84757,0.97531,0.96995,0.95202,0.97265,0.72653,0.90714,0.88005,1.03197,0.000167745,0.000167745,0.000167745
59,352.699,0.7183,0.8622,0.98241,0.98118,0.94725,0.97265,0.7381,0.92046,0.8887,1.0402,0.000163933,0.000163933,0.000163933
60,358.472,0.6621,0.79523,0.95643,0.97285,0.95875,0.97551,0.74132,0.9342,0.89964,1.05226,0.000160122,0.000160122,0.000160122
61,364.471,0.6567,0.80905,0.95372,0.96975,0.96212,0.9755,0.71809,0.9508,0.89771,1.06265,0.00015631,0.00015631,0.00015631
62,370.012,0.68121,0.77161,0.96543,0.97082,0.96107,0.97624,0.7239,0.94845,0.88532,1.06232,0.000152498,0.000152498,0.000152498
63,376.203,0.64084,0.76982,0.93667,0.97393,0.95839,0.9763,0.72795,0.93339,0.87049,1.05586,0.000148687,0.000148687,0.000148687
64,382.368,0.63143,0.74264,0.9383,0.98536,0.95044,0.97656,0.74649,0.91016,0.8622,1.04838,0.000144875,0.000144875,0.000144875
65,389.176,0.6722,0.81181,0.96683,0.98754,0.94932,0.9774,0.74319,0.91527,0.86814,1.04971,0.000141064,0.000141064,0.000141064
66,395.658,0.66768,0.8177,0.95308,0.9879,0.94909,0.97779,0.74176,0.92675,0.87509,1.05647,0.000137252,0.000137252,0.000137252
67,402.779,0.63718,0.77262,0.94791,0.98452,0.95306,0.97824,0.74381,0.93528,0.87797,1.06112,0.000133441,0.000133441,0.000133441
68,409.075,0.63279,0.74313,0.93,0.98223,0.95154,0.97487,0.74289,0.90944,0.86149,1.04788,0.000129629,0.000129629,0.000129629
69,414.823,0.67144,0.73844,0.93827,0.98444,0.95326,0.97475,0.74543,0.89144,0.85648,1.04193,0.000125818,0.000125818,0.000125818
70,421.43,0.68625,0.78292,0.98219,0.98435,0.95372,0.97445,0.74865,0.89111,0.85208,1.04187,0.000122007,0.000122007,0.000122007
71,427.558,0.59619,0.68043,0.92095,0.98288,0.95182,0.97454,0.75843,0.9072,0.85277,1.04751,0.000118195,0.000118195,0.000118195
72,433.381,0.66552,0.75048,0.97824,0.9845,0.94809,0.97464,0.71713,0.94772,0.86069,1.06765,0.000114384,0.000114384,0.000114384
73,439.229,0.65685,0.76301,0.95309,0.9848,0.94752,0.97514,0.71175,0.96404,0.86104,1.07259,0.000110572,0.000110572,0.000110572
74,445.278,0.66068,0.7513,0.96211,0.98354,0.95095,0.97493,0.71495,0.95865,0.85666,1.06791,0.000106761,0.000106761,0.000106761
75,451.416,0.63939,0.76437,0.9596,0.98258,0.95438,0.97522,0.71874,0.94246,0.85613,1.05812,0.000102949,0.000102949,0.000102949
76,456.91,0.64798,0.75271,0.96797,0.98553,0.95751,0.97548,0.73821,0.90845,0.84216,1.03779,9.91375e-05,9.91375e-05,9.91375e-05
77,462.593,0.64526,0.76736,0.95589,0.98305,0.95733,0.97548,0.74216,0.90447,0.83582,1.03593,9.5326e-05,9.5326e-05,9.5326e-05
78,469.124,0.61471,0.7233,0.94256,0.98025,0.95583,0.97736,0.73341,0.91241,0.83638,1.04088,9.15145e-05,9.15145e-05,9.15145e-05
79,475.06,0.63914,0.74956,0.94425,0.97836,0.95168,0.97814,0.72469,0.92156,0.83585,1.0462,8.7703e-05,8.7703e-05,8.7703e-05
80,480.81,0.62111,0.68448,0.93348,0.97578,0.94869,0.98591,0.72611,0.95437,0.84257,1.06095,8.38915e-05,8.38915e-05,8.38915e-05
81,486.749,0.66838,0.74421,0.95476,0.9668,0.9538,0.98591,0.7318,0.95263,0.83584,1.06026,8.008e-05,8.008e-05,8.008e-05
82,492.307,0.6243,0.71035,0.94333,0.94896,0.96274,0.98591,0.73375,0.9418,0.8289,1.05361,7.62685e-05,7.62685e-05,7.62685e-05
83,497.596,0.63524,0.74559,0.95076,0.9461,0.96633,0.98591,0.73613,0.92776,0.82077,1.04601,7.2457e-05,7.2457e-05,7.2457e-05
84,503.848,0.62919,0.75881,0.95791,0.94918,0.96301,0.987,0.74325,0.91865,0.80604,1.04159,6.86455e-05,6.86455e-05,6.86455e-05
85,510.121,0.5967,0.70859,0.93362,0.96265,0.94917,0.987,0.74011,0.91973,0.80711,1.04091,6.4834e-05,6.4834e-05,6.4834e-05
86,515.593,0.65816,0.7508,0.95874,0.95958,0.95897,0.987,0.74008,0.92294,0.80475,1.04057,6.10225e-05,6.10225e-05,6.10225e-05
87,521.016,0.62514,0.73713,0.92377,0.96289,0.96245,0.987,0.73599,0.92334,0.80573,1.03918,5.7211e-05,5.7211e-05,5.7211e-05
88,526.539,0.61547,0.71129,0.92001,0.96738,0.96531,0.987,0.7524,0.89937,0.79657,1.02725,5.33995e-05,5.33995e-05,5.33995e-05
89,532.573,0.62245,0.72978,0.93135,0.9667,0.96683,0.987,0.74935,0.88636,0.79378,1.0213,4.9588e-05,4.9588e-05,4.9588e-05
90,538.332,0.61267,0.74025,0.96666,0.96708,0.9665,0.987,0.75178,0.88119,0.79244,1.01977,4.57765e-05,4.57765e-05,4.57765e-05
91,545.529,0.50155,0.73771,0.86781,0.9668,0.96711,0.987,0.75055,0.87798,0.78872,1.0174,4.1965e-05,4.1965e-05,4.1965e-05
92,551.342,0.49645,0.73332,0.89882,0.96397,0.96562,0.98833,0.74486,0.88797,0.78671,1.02118,3.81535e-05,3.81535e-05,3.81535e-05
93,557.284,0.49865,0.73917,0.85665,0.95915,0.96242,0.98833,0.74242,0.89987,0.79551,1.02729,3.4342e-05,3.4342e-05,3.4342e-05
94,563.697,0.49184,0.71618,0.85437,0.96436,0.96034,0.98833,0.74015,0.90948,0.80453,1.03231,3.05305e-05,3.05305e-05,3.05305e-05
95,570.457,0.47693,0.70704,0.86514,0.96679,0.95699,0.987,0.73564,0.91478,0.81159,1.03552,2.6719e-05,2.6719e-05,2.6719e-05
96,576.992,0.48477,0.73791,0.84899,0.96148,0.96,0.98833,0.73958,0.90862,0.81688,1.03382,2.29075e-05,2.29075e-05,2.29075e-05
97,583.742,0.50295,0.73401,0.87736,0.95294,0.96534,0.98833,0.74162,0.90155,0.81704,1.03084,1.9096e-05,1.9096e-05,1.9096e-05
98,590.678,0.46661,0.71594,0.87409,0.95202,0.96651,0.98833,0.74187,0.89424,0.81378,1.02703,1.52845e-05,1.52845e-05,1.52845e-05
99,598.001,0.47851,0.73449,0.85403,0.9528,0.96571,0.98833,0.7494,0.88768,0.80684,1.02464,1.1473e-05,1.1473e-05,1.1473e-05
100,605.068,0.49322,0.74227,0.87546,0.95332,0.96507,0.99,0.74924,0.88252,0.79882,1.02274,7.6615e-06,7.6615e-06,7.6615e-06
