epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.43532,1.5713,4.38524,1.38886,0,0,0,0,1.38464,4.49127,1.39286,1.54e-05,1.54e-05,1.54e-05
2,11.6294,1.34254,4.2725,1.26945,0,0,0,0,1.09321,4.37469,1.16054,3.4307e-05,3.4307e-05,3.4307e-05
3,16.7755,1.12279,4.17698,1.16442,0,0,0,0,0.91805,4.24909,1.02945,5.28328e-05,5.28328e-05,5.28328e-05
4,21.8147,1.06576,3.98414,1.13271,0,0,0,0,0.88299,4.19381,0.98391,7.09774e-05,7.09774e-05,7.09774e-05
5,27.0656,1.01645,3.8007,1.10544,0,0,0,0,0.84359,4.08429,0.93153,8.8741e-05,8.8741e-05,8.8741e-05
6,32.5202,1.00586,3.48931,1.08984,0.18229,0.20536,0.16305,0.14398,0.83041,4.01949,0.93143,0.000106123,0.000106123,0.000106123
7,38.6067,1.02387,3.08065,1.10918,0.21902,0.66667,0.4401,0.37188,0.82934,3.85762,0.9403,0.000123125,0.000123125,0.000123125
8,44.8213,0.9959,2.64078,1.15403,0.15742,0.80417,0.48852,0.40518,0.86758,3.6347,0.96683,0.000139745,0.000139745,0.000139745
9,51.3545,0.94725,2.25959,1.10408,0.13322,0.97917,0.52807,0.42957,0.87553,3.20577,0.96042,0.000155984,0.000155984,0.000155984
10,57.413,1.00114,2.15013,1.16518,0.81422,0.45966,0.57598,0.45929,0.89905,2.97818,0.99167,0.000171841,0.000171841,0.000171841
11,63.3944,0.97202,1.95193,1.14656,0.84664,0.4963,0.61586,0.4786,0.90117,2.79983,0.98747,0.000187318,0.000187318,0.000187318
12,69.1841,0.94022,1.77674,1.10978,0.82014,0.52038,0.64275,0.49,0.92294,2.73277,1.01283,0.000202413,0.000202413,0.000202413
13,75.2627,0.99325,1.608,1.12819,0.79473,0.49557,0.64269,0.4892,0.91847,2.70342,1.01072,0.000217128,0.000217128,0.000217128
14,81.4174,0.94852,1.45513,1.0975,0.80639,0.5,0.70843,0.55913,0.9197,2.5935,1.02089,0.000231461,0.000231461,0.000231461
15,87.4075,0.94927,1.46005,1.12244,0.87004,0.53645,0.8613,0.67549,0.93211,2.41224,1.03232,0.000245413,0.000245413,0.000245413
16,93.1321,0.90918,1.35535,1.09675,0.8917,0.53381,0.91066,0.72609,0.93735,2.34006,1.03488,0.000258984,0.000258984,0.000258984
17,99.3337,0.88467,1.35703,1.05872,0.86219,0.59674,0.92456,0.72823,0.9292,2.19919,1.04315,0.000272173,0.000272173,0.000272173
18,105.494,0.83396,1.23001,1.02916,0.85814,0.60296,0.93579,0.74199,0.89617,2.11137,1.03606,0.000284982,0.000284982,0.000284982
19,111.67,0.89064,1.27581,1.06011,0.81064,0.66288,0.94256,0.74819,0.87561,2.01319,1.03299,0.000297409,0.000297409,0.000297409
20,118.179,0.85718,1.1503,1.02845,0.7726,0.8189,0.95842,0.76438,0.88291,1.72264,1.03146,0.000309456,0.000309456,0.000309456
21,124.264,0.85039,1.11625,1.02544,0.76916,0.86479,0.94157,0.75254,0.87445,1.63531,1.01356,0.00030877,0.00030877,0.00030877
22,130.446,0.87897,1.12845,1.03364,0.80523,0.85281,0.97082,0.75453,0.87246,1.55139,1.01391,0.000304958,0.000304958,0.000304958
23,136.277,0.87698,1.17343,1.05121,0.82383,0.91689,0.97366,0.74887,0.9001,1.53145,1.0292,0.000301147,0.000301147,0.000301147
24,142.458,0.85751,1.09319,1.03213,0.90216,0.95247,0.96719,0.74061,0.87876,1.31632,1.00082,0.000297335,0.000297335,0.000297335
25,148.369,0.83005,1.02786,1.03486,0.8989,0.94331,0.96009,0.74237,0.8669,1.30665,1.00839,0.000293524,0.000293524,0.000293524
26,154.199,0.78059,0.99386,0.9974,0.89112,0.93458,0.95675,0.73409,0.85757,1.38332,1.01029,0.000289712,0.000289712,0.000289712
27,159.908,0.80692,1.05628,1.00994,0.86177,0.91842,0.96011,0.74951,0.85554,1.38661,1.01473,0.000285901,0.000285901,0.000285901
28,165.745,0.79764,0.98385,0.98018,0.80746,0.95175,0.97564,0.77006,0.839,1.19697,1.00298,0.000282089,0.000282089,0.000282089
29,171.415,0.8439,1.10271,1.06428,0.82912,0.93302,0.97559,0.76188,0.85294,1.15151,1.00893,0.000278278,0.000278278,0.000278278
30,177.41,0.76477,0.95331,1.00864,0.88531,0.9263,0.97553,0.76319,0.85006,1.0789,0.99825,0.000274466,0.000274466,0.000274466
31,183.995,0.78115,0.98155,1.04958,0.9113,0.92378,0.97551,0.7615,0.85117,1.07411,0.99615,0.000270655,0.000270655,0.000270655
32,189.84,0.8018,1.04889,0.99701,0.93242,0.92702,0.97714,0.74273,0.90745,1.15313,1.01943,0.000266843,0.000266843,0.000266843
33,195.166,0.85818,1.03684,1.01192,0.93522,0.93751,0.9769,0.73838,0.90647,1.1675,1.02432,0.000263032,0.000263032,0.000263032
34,200.806,0.7906,1.04711,1.01571,0.92202,0.96671,0.97541,0.74704,0.88773,1.10055,1.01691,0.00025922,0.00025922,0.00025922
35,206.547,0.82049,1.00512,0.99857,0.9504,0.94572,0.97049,0.7444,0.88891,1.03673,1.02133,0.000255409,0.000255409,0.000255409
36,212.193,0.80269,0.94447,1.0222,0.96791,0.92883,0.97055,0.74137,0.88752,0.99224,1.02909,0.000251597,0.000251597,0.000251597
37,218.757,0.8175,0.97002,1.01101,0.94412,0.94095,0.97056,0.74954,0.90483,0.99673,1.03686,0.000247786,0.000247786,0.000247786
38,226.275,0.79905,0.98371,1.03049,0.95585,0.94013,0.97058,0.75187,0.89217,0.98565,1.02372,0.000243974,0.000243974,0.000243974
39,232.911,0.76777,0.90436,0.99132,0.96827,0.95856,0.97555,0.75004,0.86794,0.95729,1.00587,0.000240163,0.000240163,0.000240163
40,240.134,0.78901,0.96017,1.02137,0.95529,0.95833,0.97269,0.75382,0.85663,0.94972,1.00407,0.000236351,0.000236351,0.000236351
41,246.563,0.72882,0.92799,0.99088,0.95005,0.95084,0.97271,0.74475,0.89085,0.9493,1.01373,0.00023254,0.00023254,0.00023254
42,252.093,0.77326,0.94061,1.00672,0.95253,0.95489,0.97272,0.73817,0.88936,0.93417,1.01063,0.000228729,0.000228729,0.000228729
43,257.873,0.76812,0.98875,1.02322,0.96297,0.95052,0.97272,0.74107,0.89019,0.9229,1.01442,0.000224917,0.000224917,0.000224917
